term, docID
这是,1046265/1046265/1008145/1008145/1008145/1008145/1008145/1008145/1040771/1040771/1040771/1040771/1059406/5275059/5275059/1255625/1255624/1019568/3394338/1856285/1863930/3616310/1044547/1204889/1014578/1388169/1794844/1070851/2022979/1029553/1007433/2082194/2171321/1057206/1205054/1085799/1059937/1068308/1076045/1777823/1777823/1440589/1440589/1440589/1400707/1400707/3009033/1025336/1025336/1025336/1025336/2154960/1055976/1061367/1061367/1052828/1052828/1417905/2042966/1938591/1938591/1008988/1026686/1016486/1016486/1321017/1036684/1033190/1033190/1014533/1075495/1060117/1007928/1007928/1007928/1007928/3626924/3626924/1761056/1044203/1044203/4010196/1003078/2067299/2067299/2988943/2295324/2295324/1079680/1793132/2036343/2036343/3246230/3246230/1040104/1040104/1464989/1464989/1464989/1464989/1464989/1464989/1044316/1044316/1044316/1044316/1088581/1084082/1084082/2297786/2297786/1264579/1032945/3239824/1026411/1321018/1321018/1030054/1427788/4238754/1000445/1030200/1030200/1902628/1459623/1459623/2136484/2242467/1917078/1917078/3223711/1485224/2068211/1079252/1072438/1072438/1041111/1080544/1080544/3266344/3266344/3151990/2201813/2201813/1798557/1798557/1008732/1008732/1270508/1789837/1049522/2584971/1082577/1082577/1949925/2159042/2159042/1071794/3274851/3274851/1020128/1020128/1020128/1016806/1016806/1321789/1321789/1321789/1321789/1321789/1321789/1073708/1073708/2253753/1205373/1072842/1322025/1322025/2267630/2267630/2267630/2267630/2267630/2267630/2267630/2267630/2267630/2267630/1448761/1448761/1859649/1401795/1401795/2286313/2286313/1005492/1005492/1005492/1005492/1420368/1876333/1006646/1010204/1975809/2064450/2377012/2377012/2381950/2277795/4149893/1337292/1027587
一部,1046265/1046265/1046265/1084336/1084336/1008145/1008145/1008145/1008145/1008145/1008145/1017143/1017143/1017143/1017143/1017143/1026425/1024217/1007305/1007305/1065970/1465324/1059419/1050339/1050339/1050339/1917972/1029791/5275059/5275059/1083428/1083428/1045818/1039752/1255625/1255625/1002299/1200840/1200840/2139305/2139305/1024197/1013225/1013225/2295163/2295163/2081876/2081876/2081876/2081876/1856285/1856285/1424741/1863930/1863930/1007334/1389960/1016003/1291809/1292416/1292416/1292416/1031740/1031740/1080370/1020670/2133556/1212893/1082387/1063245/1080309/1015452/1848256/1054889/1878708/1878708/1029553/1401841/1401841/1283273/1008357/1086249/1086249/1396339/1858513/1858513/1858513/3646172/1858576/1401840/1401840/1027247/1205054/1079440/1914636/3191328/1914572/1085799/1069848/1069848/1068308/1068308/3033668/3033668/1948901/1076045/1291760/1020959/1045247/1045247/1440589/1400707/1400707/1400707/1400707/3191044/1025336/1025336/1025336/2154960/2363651/1055976/1019428/1052828/1052828/1052828/1052828/1052828/1417905/1417905/1417905/1035362/1035362/1439216/1439216/1223575/1223575/1223575/1212080/1418686/1418686/1440345/1016486/1016486/1016486/1016486/3140801/3140801/1391191/1391191/1078554/1003479/1011662/1011662/1021615/2214344/1330096/1036684/1827374/1827374/1075538/1028780/1080812/1028409/1028409/1007928/1082522/1082522/3006581/3006581/1083477/3187737/3187737/3124525/3124525/1343089/1077497/1077497/1078250/1220853/1319345/1319345/2295324/2295324/1034479/1458164/1092335/2042063/1433700/1005660/2340955/1119528/1014561/2052596/3000997/3000997/1024854/4011670/1963912/1963912/1965977/1040104/1040104/1464989/1464989/1464989/1464989/1464989/1464989/1261153/1063624/1438461/1088581/2297786/1017841/1921479/1921479/1012747/1035146/1035146/1777932/1422833/1422833/1422833/1264579/3012517/1873281/1873281/1432422/1432422/1066165/1032945/1009393/1009393/1064828/1064828/1026317/1026317/1862115/1032431/1032431/1032431/1032431/1321018/1321018/4171951/4171951/4171951/4171951/1052360/1818347/1818347/1807516/1807516/1070685/1902628/1033997/1039840/1039840/1039840/1039840/1433659/1460313/3043491/1441241/1058679/2136484/2136484/2136484/2136484/2136484/2136484/2136484/2159470/2159470/2159470/1077847/1077847/1101607/1485224/2240482/2240482/1057197/1057197/1057197/1057197/1057197/1057197/2160226/2160226/1079252/2158189/1729284/1729284/1729284/1258490/1258490/2280027/2280027/1041111/1080544/1080544/1080544/1080544/1080544/1048610/1048610/1152701/3151990/3111928/1037954/1037954/1798557/1798557/1277981/1318427/1045926/1186350/1151873/1433050/1049522/1180108/1180108/1047447/1427825/1427825/2159042/2159042/2159042/1023709/1023709/1071794/1082173/1058759/1485495/1043485/1805514/1805514/5292912/1004322/1004322/1004322/1020128/1020128/1020128/1400717/4152754/4152754/1030470/1868698/1016806/1016806/1016806/1433377/1433377/1433377/1433377/1433377/1433377/1275608/1275608/3905366/3905366/1000323/1964044/1059258/1073708/1073708/2253753/1046492/1205373/1205373/1205373/1205373/1205373/1205373/1205373/1205373/1212152/2170629/1000594/1055486/1263399/1263399/2267630/2267630/2267630/2267630/2267630/2267630/2267630/2267630/2267630/2267630/2267630/1981042/1981042/1448761/1448761/1062235/1329959/1329959/1351652/1351652/1213945/1212488/1084919/1096118/1083257/1856025/1903164/1903164/1063796/1063796/1059769/1059769/1059769/4038164/4038164/2038238/2038238/1005492/1005492/1005492/1005492/1005492/1083290/3101457/3901238/1441853/1908517/1876333/1876333/1017749/1017749/1082369/1082369/1010204/1010204/1209078/1006737/1006737/1006737/1464442/1041993/1041993/1016631/1016631/1016631/1015398/1015398/1015398/1317301/1752755/4264003/4264003/4264003/4264003/2377012/2377012/1336330/1336330/1336330/1336330/1049584/2277795/3087020/1061242/1061242/1083003/3018339/3018339/1203258/1082172/1478487/1478487/3187750/3683898/1022632/1022632/1022632/1022632/1022632/1022632/1022632/1022632/1258489/1027587/1566311
动人,1046265/1046265/1856285/1080309/1007433/1060068/1049354/1914572/3995526/1469051/2265995/1082349/3598313/3124525/3124525/1056295/1003148/1014825/1793132/1019431/1019431/1796596/1017563/2008972/1322328/2996596/3013903/3013903/1939182/2159042/2159042/1823349/1275907/1006770/1017749/1016631/1200842/1083003/1045653
人心,1046265/1046265/1009160/1255625/1006004/3616310/3646172/1205054/1076045/1426971/3009033/1439216/3140801/3140801/1310164/1310164/1035477/1321017/1035848/3124525/3124525/1212894/1212894/1056295/1914083/1931318/3246230/1000856/1044316/1026411/1030200/3013903/3013903/3162513/3162513/2033081/2033081/1254588/1254588/1254588/1927902/1927902/1217071/1949925/2159042/2159042/3162527/3162527/3246904/1456524/1456524/1212488/1010898/3123393/1336330/1022632
心弦,1046265/1046265/1035848/2159042/2159042/1336330
动人心弦,1046265/1046265/2159042/2159042
平缓,1046265/1046265/2159042/2159042
舒雅,1046265/1046265/2159042/2159042
略带,1046265/1046265/1065970/2233893/2159042/2159042/1336330/1336330
感伤,1046265/1046265/1083428/1083428/1401841/1401841/3369600/1019428/1015767/2295324/2295324/2042063/1080544/1080544/1080544/1080544/2159042/2159042/1034067/1456183/1336330/1336330/1022632
