term, docID
这是,"['1000445', '1003078', '1005492', '1006646', '1007433', '1007928', '1008145', '1008732', '1008988', '1010204', '1014533', '1014578', '1016486', '1016806', '1019568', '1020128', '1025336', '1026411', '1026686', '1027587', '1029553', '1030054', '1030200', '1032945', '1033190', '1036684', '1040104', '1040771', '1041111', '1044203', '1044316', '1044547', '1046265', '1049522', '1052828', '1055976', '1057206', '1059406', '1059937', '1060117', '1061367', '1068308', '1070851', '1071794', '1072438', '1072842', '1073708', '1075495', '1076045', '1079252', '1079680', '1080544', '1082577', '1084082', '1085799', '1088581', '1204889', '1205054', '1205373', '1255624', '1255625', '1264579', '1270508', '1321017', '1321018', '1321789', '1322025', '1337292', '1388169', '1400707', '1401795', '1417905', '1420368', '1427788', '1440589', '1448761', '1459623', '1464989', '1485224', '1761056', '1777823', '1789837', '1793132', '1794844', '1798557', '1856285', '1859649', '1863930', '1876333', '1902628', '1917078', '1938591', '1949925', '1975809', '2022979', '2036343', '2042966', '2064450', '2067299', '2068211', '2082194', '2136484', '2154960', '2159042', '2171321', '2201813', '2242467', '2253753', '2267630', '2277795', '2286313', '2295324', '2297786', '2377012', '2381950', '2584971', '2988943', '3009033', '3151990', '3223711', '3239824', '3246230', '3266344', '3274851', '3394338', '3616310', '3626924', '4010196', '4149893', '4238754', '5275059']"
一部,"['1000323', '1000594', '1002299', '1003479', '1004322', '1005492', '1005660', '1006737', '1007305', '1007334', '1007928', '1008145', '1008357', '1009393', '1010204', '1011662', '1012747', '1013225', '1014561', '1015398', '1015452', '1016003', '1016486', '1016631', '1016806', '1017143', '1017749', '1017841', '1019428', '1020128', '1020670', '1020959', '1021615', '1022632', '1023709', '1024197', '1024217', '1024854', '1025336', '1026317', '1026425', '1027247', '1027587', '1028409', '1028780', '1029553', '1029791', '1030470', '1031740', '1032431', '1032945', '1033997', '1034479', '1035146', '1035362', '1036684', '1037954', '1039752', '1039840', '1040104', '1041111', '1041993', '1043485', '1045247', '1045818', '1045926', '1046265', '1046492', '1047447', '1048610', '1049522', '1049584', '1050339', '1052360', '1052828', '1054889', '1055486', '1055976', '1057197', '1058679', '1058759', '1059258', '1059419', '1059769', '1061242', '1062235', '1063245', '1063624', '1063796', '1064828', '1065970', '1066165', '1068308', '1069848', '1070685', '1071794', '1073708', '1075538', '1076045', '1077497', '1077847', '1078250', '1078554', '1079252', '1079440', '1080309', '1080370', '1080544', '1080812', '1082172', '1082173', '1082369', '1082387', '1082522', '1083003', '1083257', '1083290', '1083428', '1083477', '1084336', '1084919', '1085799', '1086249', '1088581', '1092335', '1096118', '1101607', '1119528', '1151873', '1152701', '1180108', '1186350', '1200840', '1203258', '1205054', '1205373', '1209078', '1212080', '1212152', '1212488', '1212893', '1213945', '1220853', '1223575', '1255625', '1258489', '1258490', '1261153', '1263399', '1264579', '1275608', '1277981', '1283273', '1291760', '1291809', '1292416', '1317301', '1318427', '1319345', '1321018', '1329959', '1330096', '1336330', '1343089', '1351652', '1389960', '1391191', '1396339', '1400707', '1400717', '1401840', '1401841', '1417905', '1418686', '1422833', '1424741', '1427825', '1432422', '1433050', '1433377', '1433659', '1433700', '1438461', '1439216', '1440345', '1440589', '1441241', '1441853', '1448761', '1458164', '1460313', '1464442', '1464989', '1465324', '1478487', '1485224', '1485495', '1566311', '1729284', '1752755', '1777932', '1798557', '1805514', '1807516', '1818347', '1827374', '1848256', '1856025', '1856285', '1858513', '1858576', '1862115', '1863930', '1868698', '1873281', '1876333', '1878708', '1902628', '1903164', '1908517', '1914572', '1914636', '1917972', '1921479', '1948901', '1963912', '1964044', '1965977', '1981042', '2038238', '2042063', '2052596', '2081876', '2133556', '2136484', '2139305', '2154960', '2158189', '2159042', '2159470', '2160226', '2170629', '2214344', '2240482', '2253753', '2267630', '2277795', '2280027', '2295163', '2295324', '2297786', '2340955', '2363651', '2377012', '3000997', '3006581', '3012517', '3018339', '3033668', '3043491', '3087020', '3101457', '3111928', '3124525', '3140801', '3151990', '3187737', '3187750', '3191044', '3191328', '3646172', '3683898', '3901238', '3905366', '4011670', '4038164', '4152754', '4171951', '4264003', '5275059', '5292912']"
动人,"['1003148', '1006770', '1007433', '1014825', '1016631', '1017563', '1017749', '1019431', '1045653', '1046265', '1049354', '1056295', '1060068', '1080309', '1082349', '1083003', '1200842', '1275907', '1322328', '1469051', '1793132', '1796596', '1823349', '1856285', '1914572', '1939182', '2008972', '2159042', '2265995', '2996596', '3013903', '3124525', '3598313', '3995526']"
人心,"['1000856', '1006004', '1009160', '1010898', '1022632', '1026411', '1030200', '1035477', '1035848', '1044316', '1046265', '1056295', '1076045', '1205054', '1212488', '1212894', '1217071', '1254588', '1255625', '1310164', '1321017', '1336330', '1426971', '1439216', '1456524', '1914083', '1927902', '1931318', '1949925', '2033081', '2159042', '3009033', '3013903', '3123393', '3124525', '3140801', '3162513', '3162527', '3246230', '3246904', '3616310', '3646172']"
心弦,"['1035848', '1046265', '1336330', '2159042']"
动人心弦,"['1046265', '2159042']"
平缓,"['1046265', '2159042']"
舒雅,"['1046265', '2159042']"
略带,"['1046265', '1065970', '1336330', '2159042', '2233893']"
感伤,"['1015767', '1019428', '1022632', '1034067', '1046265', '1080544', '1083428', '1336330', '1401841', '1456183', '2042063', '2159042', '2295324', '3369600']"
恋爱,"['1000323', '1007334', '1007433', '1011977', '1013225', '1030470', '1035614', '1043579', '1045926', '1046265', '1052380', '1055486', '1062235', '1079252', '1079680', '1180102', '1180108', '1292416', '1310164', '1341035', '1459149', '1468393', '1794333', '1927902', '1949925', '2042966', '2119843', '2159042', '2250587', '3010130', '3010133', '3101457', '3597938', '3864342', '4011670', '4149893', '4238754']"
