term, docID
溥仪,['1293172']
尊龙,['1293172']
饰,"['1291545', '1291548', '1291549', '1291550', '1291552', '1291554', '1291555', '1291557', '1291558', '1291559', '1291571', '1291572', '1291580', '1291584', '1291828', '1291832', '1291833', '1291835', '1291836', '1291840', '1291841', '1291842', '1291843', '1291844', '1291853', '1291859', '1291868', '1291869', '1291870', '1291875', '1291878', '1291937', '1291990', '1292000', '1292001', '1292047', '1292048', '1292049', '1292052', '1292055', '1292056', '1292062', '1292064', '1292207', '1292208', '1292211', '1292212', '1292213', '1292214', '1292215', '1292216', '1292217', '1292218', '1292219', '1292222', '1292223', '1292224', '1292225', '1292226', '1292229', '1292234', '1292260', '1292262', '1292268', '1292270', '1292271', '1292274', '1292275', '1292279', '1292286', '1292289', '1292326', '1292341', '1292343', '1292344', '1292348', '1292370', '1292371', '1292484', '1292504', '1292523', '1292528', '1292553', '1292656', '1292659', '1292704', '1292718', '1292720', '1292728', '1292849', '1292895', '1292950', '1293013', '1293050', '1293088', '1293124', '1293135', '1293145', '1293167', '1293172', '1293173', '1293181', '1293182', '1293234', '1293258', '1293315', '1293317', '1293351', '1293353', '1293359', '1293377', '1293399', '1293414', '1293460', '1293527', '1293530', '1293531', '1293537', '1293544', '1293555', '1293607', '1293702', '1293708', '1293764', '1293765', '1293818', '1293825', '1293839', '1293867', '1293929', '1294007', '1294037', '1294136', '1294240', '1294362', '1294371', '1294408', '1294417', '1294621', '1294671', '1294927', '1294941', '1294990', '1295045', '1295120', '1295124', '1295229', '1295250', '1295253', '1295280', '1295318', '1295340', '1295374', '1295384', '1295409', '1295469', '1295485', '1295644', '1295686', '1295865', '1295965', '1296078', '1296157', '1296201', '1296253', '1296339', '1296436', '1296629', '1296717', '1296736', '1296753', '1296778', '1296837', '1296909', '1296992', '1296996', '1297018', '1297068', '1297102', '1297223', '1297291', '1297304', '1297447', '1297478', '1297518', '1297544', '1297570', '1297574', '1297630', '1297659', '1297689', '1297763', '1297862', '1297863', '1298038', '1298040', '1298070', '1298128', '1298346', '1298525', '1298586', '1298624', '1298653', '1298744', '1298759', '1298909', '1299059', '1299062', '1299080', '1299131', '1299193', '1299288', '1299327', '1299362', '1299383', '1299603', '1299680', '1299769', '1300055', '1300056', '1300064', '1300069', '1300108', '1300220', '1300265', '1300267', '1300275', '1300299', '1300300', '1300303', '1300353', '1300374', '1300498', '1300528', '1300555', '1300566', '1300616', '1300618', '1300656', '1300741', '1300883', '1300960', '1301106', '1301168', '1301169', '1301171', '1301174', '1301345', '1301445', '1301578', '1301726', '1301746', '1301890', '1301912', '1302061', '1302090', '1302100', '1302303', '1302425', '1302467', '1302642', '1302769', '1302795', '1302827', '1303010', '1303139', '1303173', '1303184', '1303203', '1303246', '1303394', '1303590', '1303630', '1304022', '1304056', '1304073', '1304102', '1304141', '1304282', '1304337', '1304397', '1304447', '1304485', '1304585', '1304641', '1304643', '1304677', '1304854', '1304972', '1305053', '1305065', '1305068', '1305164', '1305179', '1305182', '1305197', '1305279', '1305333', '1305355', '1305466', '1305487', '1305541', '1305703', '1305713', '1305903', '1306154', '1306160', '1306249', '1306319', '1306471', '1306505', '1306526', '1306541', '1306612', '1306666', '1306730', '1306809', '1306951', '1307014', '1307023', '1307043', '1307181', '1307332', '1307527', '1307542', '1307690', '1307696', '1307697', '1307739', '1307740', '1307748', '1307762', '1307781', '1307847', '1307906', '1307955', '1307956', '1308111', '1308232', '1308338', '1308480', '1308482', '1308520', '1308570', '1308573', '1308575', '1308599', '1308620', '1308655', '1308741', '1308748', '1308749', '1308751', '1308752', '1308753', '1308755', '1308757', '1308767', '1308776', '1308777', '1308779', '1308804', '1308811', '1308817', '1308819', '1308827', '1308831', '1308833', '1308838', '1308843', '1308848', '1308851', '1308854', '1308855', '1308857', '1308865', '1308974', '1309015', '1309016', '1309020', '1309021', '1309027', '1309043', '1309044', '1309045', '1309052', '1309054', '1309055', '1309059', '1309069', '1309078', '1309084', '1309101', '1309103', '1309136', '1309160', '1309163', '1309172', '1309184', '1309199', '1309203', '1309220', '1310185', '1315316', '1315570', '1315574', '1316510', '1316513', '1316580', '1322851', '1323749', '1325399', '1325958', '1329286', '1329562', '1329936', '1329962', '1337286', '1366853', '1388175', '1388216', '1390020', '1390021', '1393479', '1394324', '1394819', '1395776', '1396313', '1401205', '1401524', '1401533', '1401535', '1408312', '1410556', '1412579', '1417598', '1417946', '1418070', '1418189', '1418190', '1418191', '1418200', '1418605', '1418640', '1418752', '1418834', '1419297', '1419581', '1419933', '1419936', '1422920', '1422952', '1428175', '1428602', '1432146', '1432972', '1433330', '1433360', '1433736', '1436870', '1436900', '1438093', '1438652', '1438760', '1439890', '1440703', '1441602', '1450031', '1451430', '1451911', '1459368', '1461985', '1465829', '1466007', '1466394', '1467044', '1468155', '1469441', '1471507', '1474180', '1474185', '1474189', '1476023', '1477894', '1478064', '1478186', '1478926', '1482077', '1482394', '1482911', '1484091', '1484760', '1485260', '1498818', '1498831', '1499008', '1499148', '1509868', '1578503', '1578507', '1578685', '1585146', '1607471', '1652587', '1689787', '1727557', '1760104', '1760622', '1763132', '1763134', '1764730', '1764796', '1765009', '1766086', '1767042', '1777612', '1780330', '1781126', '1782142', '1786742', '1788392', '1790373', '1790577', '1792928', '1793903', '1793909', '1794171', '1794435', '1796053', '1806555', '1819388', '1820156', '1828115', '1829654', '1835843', '1837856', '1844413', '1849031', '1850963', '1853176', '1853621', '1855834', '1856299', '1857099', '1858802', '1859036', '1861411', '1862151', '1863941', '1863947', '1863955', '1864810', '1865561', '1866264', '1866424', '1866475', '1867345', '1867408', '1870044', '1872133', '1873750', '1876781', '1878360', '1885124', '1890157', '1890784', '1892510', '1892531', '1898223', '1900841', '1905462', '1907464', '1914652', '1914831', '1915312', '1915393', '1915403', '1917577', '1920796', '1920805', '1922273', '1926007', '1927369', '1927686', '1937401', '1937502', '1939414', '1940867', '1945336', '1945549', '1946882', '1947089', '1947091', '1947144', '1947549', '1949312', '1949328', '1949761', '1949811', '1949812', '1950148', '1950525', '1951318', '1961963', '1966464', '1972698', '1978709', '1979063', '1981242', '1986338', '1997679', '2002683', '2003389', '2010975', '2018131', '2027938', '2028645', '2028647', '2028666', '2033822', '2037012', '2037796', '2044089', '2044102', '2046839', '2051007', '2052978', '2053515', '2054024', '2054026', '2054933', '2059225', '2078864', '2080133', '2081098', '2082013', '2085721', '2123510', '2124586', '2124703', '2124724', '2131654', '2132120', '2132220', '2132495', '2132932', '2135981', '2138507', '2144242', '2146991', '2147121', '2147854', '2148257', '2148619', '2149804', '2149806', '2153526', '2153527', '2154743', '2154859', '2154868', '2156528', '2156663', '2156704', '2156945', '2157130', '2157131', '2161696', '2190914', '2190934', '2209368', '2209573', '2212156', '2213591', '2213597', '2214140', '2222995', '2223596', '2229427', '2230888', '2230906', '2239286', '2253613', '2256034', '2257732', '2267369', '2268359', '2270390', '2279772', '2286012', '2294568', '2295401', '2297265', '2297275', '2300586', '2301701', '2326212', '2334904', '2336737', '2336785', '2338058', '2346881', '2350904', '2354729', '2357708', '2359431', '2361823', '2365260', '2368641', '2369549', '2369845', '2969282', '2976111', '2976123', '2978951', '2983389', '2996640', '2998270', '3003137', '3003830', '3005496', '3005875', '3006772', '3007773', '3007826', '3008247', '3011049', '3011051', '3011072', '3011091', '3011093', '3011102', '3011225', '3011308', '3013580', '3018122', '3026357', '3033864', '3041294', '3041806', '3053521', '3066739', '3072086', '3073124', '3074303', '3074503', '3077791', '3078386', '3078609', '3103678', '3120852', '3126196', '3130180', '3148027', '3148748', '3149087', '3155477', '3157605', '3198015', '3205624', '3217122', '3230459', '3230462', '3233761', '3240208', '3244162', '3250377', '3262939', '3264045', '3279080', '3279107', '3289086', '3291930', '3305873', '3312344', '3313801', '3314870', '3319755', '3344570', '3412830', '3412882', '3420455', '3445526', '3541415', '3543690', '3546019', '3550132', '3552028', '3578981', '3596502', '3606975', '3607666', '3609075', '3626416', '3628370', '3642866', '3647523', '3670447', '3683409', '3690289', '3718447', '3732780', '3734112', '3737102', '3742360', '3754946', '3777800', '3792799', '3792816', '3793023', '3804470', '3804746', '3805953', '3813779', '3820191', '3824672', '3873960', '3882715', '3897667', '3901388', '3920977', '3928370', '3986493', '3990470', '4004731', '4009651', '4023638', '4059245', '4062922', '4066206', '4097023', '4111416', '4133814', '4133988', '4145476', '4151110', '4237879', '4249355', '4268598', '4271894', '4300525', '4305436', '4312232', '4323732', '4707230', '4709904', '4739952', '4822848', '4896263', '5250583', '5344178']"
一生,"['1291588', '1292001', '1292720', '1293172', '1293399', '1297052', '1300960', '1307394', '1309059', '1315570', '1322851', '1329950', '1441602', '1476023', '1478926', '1787291', '1858802', '1863941', '1898223', '1920805', '1947089', '1949811', '2082013', '2129039', '3005496']"
电影,"['1291558', '1291564', '1291580', '1291585', '1291828', '1291835', '1291856', '1291875', '1291992', '1292217', '1292281', '1292347', '1292504', '1293172', '1293234', '1293460', '1294362', '1300056', '1300353', '1300505', '1301174', '1302061', '1302795', '1305541', '1306809', '1307315', '1307394', '1308752', '1309015', '1309043', '1309078', '1323749', '1369747', '1408100', '1418019', '1418640', '1421809', '1431714', '1438652', '1441238', '1451911', '1457707', '1459368', '1470591', '1476023', '1484091', '1578685', '1652587', '1766086', '1783457', '1783772', '1787277', '1796053', '1829654', '1853176', '1865561', '1865703', '1870044', '1872133', '1891179', '1940867', '1946882', '1947549', '1962116', '2027945', '2046839', '2053515', '2147854', '2148257', '2156754', '2230906', '2279772', '2297265', '2297275', '2334814', '2357162', '2359431', '2996640', '3003137', '3008247', '3011093', '3072124', '3073124', '3074503', '3120852', '3217122', '3250377', '3335371', '3420455', '3442220', '3683409', '3690289', '3718447', '3732780', '3737102', '3792799', '3804470', '3805953', '4059245', '4074158', '4237879', '4249355', '4268598', '4822848', '4896263', '5344178']"
中,"['1291543', '1291557', '1291559', '1291560', '1291562', '1291564', '1291571', '1291573', '1291577', '1291579', '1291581', '1291582', '1291583', '1291584', '1291586', '1291824', '1291828', '1291838', '1291840', '1291842', '1291844', '1291853', '1291859', '1291869', '1291870', '1291877', '1291992', '1292049', '1292062', '1292213', '1292214', '1292218', '1292220', '1292222', '1292223', '1292226', '1292260', '1292262', '1292271', '1292274', '1292275', '1292279', '1292281', '1292287', '1292288', '1292328', '1292329', '1292347', '1292348', '1292365', '1292401', '1292444', '1292484', '1292528', '1292659', '1292679', '1292722', '1292728', '1292849', '1293050', '1293172', '1293173', '1293182', '1293203', '1293234', '1293317', '1293318', '1293350', '1293359', '1293377', '1293460', '1293530', '1293531', '1293537', '1293555', '1293708', '1293764', '1293839', '1294114', '1294136', '1294194', '1294371', '1294417', '1294561', '1294621', '1294639', '1294671', '1294833', '1295038', '1295045', '1295120', '1295253', '1295340', '1295384', '1295399', '1295686', '1295815', '1296078', '1296157', '1296384', '1296629', '1296717', '1296736', '1296753', '1296909', '1297052', '1297102', '1297223', '1297359', '1297544', '1297659', '1297689', '1297756', '1297862', '1297995', '1298070', '1298346', '1298443', '1298525', '1298586', '1298624', '1298653', '1298744', '1298759', '1298898', '1298909', '1299193', '1299243', '1299362', '1299398', '1299603', '1299889', '1300055', '1300056', '1300064', '1300265', '1300300', '1300374', '1300505', '1300528', '1300555', '1300618', '1300656', '1300868', '1300945', '1300960', '1301169', '1301171', '1301174', '1301445', '1301726', '1301753', '1302061', '1302303', '1302425', '1302467', '1302642', '1302795', '1302987', '1303139', '1303173', '1303184', '1303590', '1303815', '1304073', '1304337', '1304397', '1304447', '1304608', '1304624', '1304643', '1304677', '1305164', '1305179', '1305182', '1305279', '1305355', '1305487', '1305690', '1305903', '1306319', '1306471', '1306541', '1307023', '1307315', '1307323', '1307394', '1307527', '1307681', '1307702', '1307740', '1307762', '1307766', '1307781', '1307847', '1307849', '1307868', '1307914', '1307955', '1307956', '1308076', '1308288', '1308338', '1308480', '1308482', '1308543', '1308620', '1308655', '1308741', '1308746', '1308748', '1308749', '1308751', '1308752', '1308755', '1308767', '1308776', '1308777', '1308804', '1308811', '1308831', '1308833', '1308838', '1308848', '1308855', '1308857', '1308865', '1309015', '1309016', '1309020', '1309043', '1309045', '1309054', '1309055', '1309060', '1309078', '1309101', '1309136', '1309160', '1309163', '1309172', '1310185', '1315570', '1315574', '1325399', '1329950', '1366853', '1381964', '1390020', '1393859', '1394324', '1400868', '1401205', '1401524', '1410556', '1412579', '1418019', '1418070', '1418190', '1418200', '1418640', '1418834', '1419297', '1419933', '1419936', '1419969', '1421823', '1422952', '1428175', '1428577', '1428580', '1428878', '1431685', '1431714', '1431718', '1432146', '1432972', '1433330', '1433673', '1433736', '1437342', '1438652', '1439579', '1441238', '1451430', '1451911', '1457217', '1457707', '1459368', '1461964', '1464338', '1465829', '1466007', '1476023', '1478064', '1478186', '1478926', '1482911', '1498604', '1498818', '1509868', '1578685', '1585146', '1652587', '1756073', '1756584', '1760027', '1763132', '1763134', '1764796', '1765009', '1767042', '1782006', '1786739', '1786742', '1787277', '1792928', '1793909', '1800597', '1806543', '1806555', '1817253', '1819388', '1835843', '1851857', '1851906', '1853176', '1853621', '1855834', '1856299', '1858802', '1860377', '1863941', '1863955', '1864810', '1865703', '1866424', '1867335', '1867345', '1872133', '1875313', '1878360', '1883755', '1885124', '1890157', '1890784', '1891179', '1891211', '1892510', '1899125', '1900841', '1907464', '1914831', '1917074', '1920796', '1926007', '1927369', '1927686', '1937401', '1937946', '1938312', '1939414', '1945330', '1945336', '1947091', '1949328', '1949812', '1959877', '1963070', '1978369', '1978709', '1979063', '1994876', '1997679', '1997681', '1998799', '2003389', '2027938', '2028645', '2028647', '2028666', '2032236', '2033822', '2043546', '2044089', '2051007', '2052978', '2053515', '2054024', '2063528', '2080133', '2082013', '2085721', '2123510', '2129039', '2138382', '2138507', '2147121', '2147854', '2148257', '2148394', '2153526', '2154096', '2154859', '2154868', '2156945', '2157131', '2161696', '2213591', '2213597', '2222995', '2230888', '2239286', '2249531', '2267369', '2268359', '2286642', '2294568', '2295401', '2297265', '2297275', '2300586', '2301701', '2326676', '2336785', '2346881', '2353023', '2357701', '2357703', '2357707', '2357708', '2357711', '2357719', '2361823', '2365260', '2369549', '2969282', '2996640', '2998270', '3003137', '3006772', '3008247', '3011072', '3011093', '3011308', '3013580', '3018122', '3072086', '3074503', '3077791', '3102668', '3120852', '3130180', '3148027', '3148748', '3155477', '3158990', '3198015', '3215640', '3230462', '3240208', '3244162', '3250377', '3268216', '3287562', '3305873', '3312344', '3313801', '3338821', '3387546', '3412882', '3445526', '3541415', '3546019', '3552028', '3560787', '3578981', '3606975', '3628370', '3670447', '3690289', '3718447', '3734112', '3734350', '3737102', '3742360', '3777800', '3805953', '3824672', '3882715', '3908423', '3928370', '3986493', '3990470', '4009651', '4057312', '4066206', '4074158', '4111416', '4133814', '4133988', '4237879', '4249355', '4268598', '4305436', '4709904', '4888039', '5344178']"
娓娓,"['1291990', '1293172']"
娓娓道来,"['1291990', '1293172']"
三岁,"['1292207', '1292402', '1293172']"
登基,"['1293172', '3412830']"
