id,jieba,thulac
1293172,溥仪/尊龙/饰/的/一生/在/电影/中/娓娓道来/他/从/三岁/起/登基/年幼/的/眼光/中/只有/大臣/身上/的/一只/蝈蝈/江山/在/他/心中/只是/一个/不明/所以/的/名词/长大/了/他/以为/可以/变革/却/被/太监/一把/火烧/了/朝廷/账本/他/以为/自己/是/大清/江山/的/主人/却/做/了/日本/人/的/傀儡/解放后/他/坐/上/了/从/苏联/回来/的/火车/身边/是/押送/监视/他/的/解放军/他/猜测/自己/难逃一死/便/躲/在/狭小/的/卫生间/里/割脉/自杀/然而/他/没有/死/在/火车/上/命运/的/嘲笑/还/在/等/着/他/文革/的/风风雨雨/在/他/身上/留下/了/斑斑/伤痕,溥仪/尊/龙饰/的/一生/在/电影/中/娓娓/道/来/他/从/三/岁/起/登基/年幼/的/眼光/中/只/有/大臣/身上/的/一/只/蝈蝈/江山/在/他/心中/只/是/一个/不/明所以/的/名词/长大/了/他/以为/可以/变革/却/被/太监/一/把/火烧/了/朝廷/账本/他/以为/自己/是/大/清江山/的/主人/却/做/了/日本/人/的/傀儡/解放后/他/坐/上/了/从/苏联/回/来/的/火车/身边/是/押送/监视/他/的/解放军/他/猜测/自己/难/逃/一/死/便/躲/在/狭小/的/卫生间/里/割脉/自杀/然而/他/没有/死/在/火车/上/命运/的/嘲笑/还/在/等/着/他/文革/的/风风雨雨/在/他/身上/留下/了/斑斑/伤痕
1292052,一场/谋杀案/使/银行家/安迪/蒂姆/•/罗宾斯/TimRobbins/饰/蒙冤/入狱/谋杀/妻子/及其/情人/的/指控/将/囚禁/他/终生/在/肖申克/监狱/的/首次/现身/就让/监狱/大哥/瑞德/摩根/•/弗里/曼/MorganFreeman/饰/对/他/另眼相看/瑞德/帮助/他/搞/到/一把/石锤/和/一幅/女明星/海报/两人/渐成/患难之交/很快/安迪/在/监狱/里/大显/其才/担当/监狱/图书/管理员/并/利用/自己/的/金融/知识/帮助/监狱/官/避税/引起/了/典狱长/的/注意/被/招致/麾下/帮助/典狱长/洗/黑钱/偶然/一次/他/得知/一名/新/入狱/的/小偷/能够/作证/帮/他/洗脱/谋杀罪/燃起/一丝/希望/的/安迪/找到/了/典狱长/希望/他/能/帮/自己/翻案/阴险/伪善/的/狱长/假装/答应/安迪/背后/却/派/人/杀死/小偷/让/他/唯一/能/合法/出狱/的/希望/泯灭/沮丧/的/安迪/并/没有/绝望/在/一个/电闪雷鸣/的/风雨/夜/一场/暗藏/几十年/的/越狱/计划/让/他/自我/救赎/重获/自由/老朋友/瑞德/在/他/的/鼓舞/和/帮助/下/也/勇敢/地奔/向/自由/本片/获得/1995/年/奥/...,一/场/谋杀案/使/银行/家/安迪蒂姆/•/罗/宾斯TimRobbins/饰蒙/冤入狱/谋杀/妻子/及其/情人/的/指控/将/囚禁/他/终生/在/肖申克/监狱/的/首/次/现身/就/让/监狱/大哥/瑞德/摩根•/弗里曼MorganFreeman饰/对/他/另眼相看/瑞德/帮助/他/搞/到/一/把/石锤/和/一/幅/女/明星/海报/两/人/渐/成/患难之交/很快/安迪/在/监狱/里/大显其才/担当/监狱/图书/管理员/并/利用/自己/的/金融/知识/帮助/监狱/官避税/引起/了/典狱/长/的/注意/被/招致/麾下/帮助/典狱/长洗/黑钱/偶然/一/次/他/得知/一/名/新/入狱/的/小偷/能够/作证/帮/他/洗/脱谋/杀罪/燃起/一/丝/希望/的/安迪/找到/了/典狱/长/希望/他/能/帮/自己/翻案/阴险/伪善/的/狱长/假装/答应/安迪/背后/却/派/人/杀死/小偷/让/他/唯一/能/合法/出狱/的/希望/泯灭/沮丧/的/安迪/并/没有/绝望/在/一个/电闪雷鸣/的/风雨夜/一/场/暗藏/几十/年/的/越狱/计划/让/他/自我/救赎/重/获/自由/老朋友/瑞德/在/他/的/鼓舞/和/帮助/下/也/勇敢/地/奔/向/自由/本片/获得/1995年/奥/...
1295644,里昂/让/雷诺/饰/是/名/孤独/的/职业杀手/受人/雇佣/一天/邻居家/小姑娘/马/蒂尔/达纳/塔丽/波特曼/饰/敲开/他/的/房门/要求/在/他/那里/暂避/杀身之祸/原来/邻居家/的/主人/是/警方/缉毒/组/的/眼线/只/因/贪污/了/一小包/毒品/而/遭恶警/加里/奥德曼/饰/杀害/全家/的/惩罚/马/蒂尔/达/得到/里昂/的/留救/幸免于难/并/留在/里昂/那里/里昂/教/小女孩/使枪/她/教/里昂/法文/两人/关系/日趋/亲密/相处/融洽/女孩/想着/去/报仇/反倒/被/抓/里昂/及时/赶到/将/女孩/救回/混杂着/哀怨/情仇/的/正邪/之战/渐次/升级/更大/的/冲突/在所难免,里昂/让/雷诺/饰/是/名孤独/的/职业/杀手/受/人/雇佣/一/天/邻居/家/小姑娘/马蒂尔达纳塔丽波特/曼饰/敲/开/他/的/房门/要求/在/他/那里/暂避/杀身/之/祸原/来/邻居/家/的/主人/是/警方/缉毒组/的/眼线/只/因/贪污/了/一/小/包/毒品/而/遭/恶警/加里奥德/曼饰/杀害/全/家/的/惩罚/马蒂尔/达/得到/里昂/的/留救/幸免于难/并/留/在/里昂/那里/里昂教/小/女孩/使/枪/她/教里昂/法文/两/人/关系/日趋/亲密相处/融洽/女孩/想/着/去/报仇/反倒/被/抓/里昂/及时/赶到/将/女孩/救回/混杂/着/哀怨/情仇/的/正/邪/之/战/渐次/升级/更/大/的/冲突/在所难免
1292720,阿甘/汤姆/汉克斯/饰于/二战/结束/后/不久/出生/在/美国/南方/阿拉巴马州/一个/闭塞/的/小镇/他/先天/弱智/智商/只有/75/然而/他/的/妈妈/是/一个/性格/坚强/的/女性/她/常常/鼓励/阿甘/傻/人/有/傻福要/他/自强不息/阿甘像/普通/孩子/一样/上学/并且/认识/了/一生/的/朋友/和/至爱/珍妮/罗宾/莱特/潘饰/在/珍妮/和/妈妈/的/爱护/下/阿甘/凭着/上帝/赐予/的/飞毛腿/开始/了/一生/不停/的/奔跑/阿甘/成为/橄榄球/巨星/越战/英雄/乒乓球/外交/使者/亿万富翁/但是/他/始终/忘不了/珍妮/几次/匆匆/的/相聚/和/离别/更是/加深/了/阿甘/的/思念/有/一天/阿甘/收到/珍妮/的/信/他们/终于/又/要/见面,阿/甘汤姆汉克斯/饰/于/二战/结束/后/不/久/出生/在/美国/南方/阿/拉巴马州/一个/闭塞/的/小镇/他/先天/弱智/智商/只/有/75然而/他/的/妈妈/是/一个/性格/坚强/的/女性/她/常常/鼓励/阿/甘傻人/有/傻福/要/他/自强不息/阿/甘像/普通/孩子/一样/上学/并且/认识/了/一生/的/朋友/和/至/爱/珍妮/罗/宾莱特/潘饰/在/珍妮/和/妈妈/的/爱护/下/阿/甘/凭着/上帝/赐予/的/飞毛腿/开始/了/一生/不/停/的/奔跑/阿/甘/成为/橄榄球/巨星/越/战/英雄/乒乓球/外交/使者/亿万富翁/但是/他/始终/忘/不/了/珍妮/几/次/匆匆/的/相聚/和/离别/更/是/加深/了/阿甘/的/思念/有/一/天/阿/甘/收到/珍妮/的/信/他们/终于/又/要/见面
3541415,道姆柯布/莱昂纳多/迪卡/普里/奥/LeonardoDiCaprio/饰/与/同事/阿瑟/约瑟夫/戈登/莱维/特/JosephGordonLevitt/饰/和/纳什/卢卡斯/哈斯/LukasHaas/饰/在/一次/针对/日本/能源/大亨/齐藤/渡边/谦饰/的/盗/梦/行动/中/失败/反/被/齐藤/利用/齐藤/威逼利诱/因遭/通缉/而/流亡海外/的/柯布/帮/他/拆分/他/竞争对手/的/公司/采取/极端/措施/在/其/唯一/继承人/罗伯特/费希尔/希/里安/墨菲/CillianMurphy/饰/的/深层/潜意识/中种/下/放弃/家族/公司/自立门户/的/想法/为了/重返/美国/柯布/偷偷/求助于/岳父/迈尔斯/迈克尔/凯恩/MichaelCaine/饰/吸收/了/年轻/的/梦境/设计师/艾里/阿德/妮/艾伦/佩吉/EllenPage/饰/梦境/演员/艾姆斯/汤姆/哈迪/TomHardy/饰/和/药剂师/约瑟夫/迪利/普劳/DileepRao/饰/加入/行动/在/一层层/...,道姆柯布莱昂纳多迪卡普里奥LeonardoDiCaprio饰/与/同事/阿/瑟约瑟夫戈登莱维特JosephGordonLevitt饰/和/纳什卢卡斯/哈/斯LukasHaas/饰/在/一/次/针对/日本/能源/大亨/齐藤/渡边/谦饰/的/盗梦/行动/中/失败/反/被/齐藤/利用/齐藤威/逼利/诱因/遭/通缉/而/流亡/海外/的/柯布/帮/他/拆/分/他/竞争/对手/的/公司/采取/极端/措施/在/其/唯一/继承人/罗/伯特费/希尔希里/安墨菲/CillianMurph/y饰/的/深层/潜意识/中/种/下/放弃/家/族/公司/自立门户/的/想法/为/了/重返/美国/柯布/偷偷/求助/于/岳父/迈尔斯/迈克尔/凯恩MichaelCaine饰/吸收/了/年轻/的/梦境/设计师/艾里/阿/德妮/艾伦佩吉EllenPage饰/梦境/演员/艾姆斯汤姆/哈/迪TomHardy饰/和/药剂师/约瑟夫/迪利/普劳DileepRao饰/加入/行动/在/一层层/...
3742360,民国/年间/花钱/捐得/县长/的/马/邦德/葛优/饰/携妻/刘嘉玲/饰及/随从/走马上任/途经/南国/某地/遭/劫匪/张/麻子/姜/文饰/一伙/伏击/随从/尽死/只/夫妻/二人/侥幸/活命/马为/保命/谎称/自己/是/县长/的/汤/师爷/为/汤/师爷/许下/的/财富/所动/张/麻子/摇身一变/化身/县长/带/着/手下/赶赴/鹅城/上任/有道是/天高皇帝远/鹅城/地处/偏僻/一方/霸主/黄四郎/周润发/饰/只手遮天/全然/不/将/这个/新来/的/县长/放在眼里/张/麻子/痛打/了/黄/的/武/教头/姜武饰/黄则/设计/害死/张/的/义子/小/六张/默饰/原本/只想/赚钱/的/马/邦德/怎么/也/想不到/竟会/被/卷入/这场/土匪/和/恶霸/的/角力/之中/鹅城/上空/愁云/密布/血雨腥风/在所难免/本片/根据/马识途/的/小说/夜谭/十记/中/的/盗/官记/一章/改编,民国/年间/花钱/捐/得/县长/的/马邦德/葛优饰/携妻/刘嘉玲/饰/及/随/从/走马上任/途经/南国/某地/遭/劫匪/张麻子/姜文饰/一/伙/伏击/随/从/尽/死/只/夫妻/二/人/侥幸/活命马/为/保命/谎称/自己/是/县长/的/汤师爷/为/汤师爷/许/下/的/财富/所/动/张麻子/摇身一变/化身/县长/带/着/手下/赶赴/鹅城/上任/有/道/是/天高皇帝远/鹅城/地处/偏僻/一/方/霸主/黄四郎/周润/发饰/只手遮天/全然/不/将/这个/新/来/的/县长/放在眼里/张麻子/痛/打/了/黄/的/武教头/姜武/饰/黄/则/设计/害/死/张/的/义子/小六/张/默饰/原本/只/想/赚钱/的/马邦德/怎/么/也/想/不/到/竟/会/被/卷入/这/场/土匪/和/恶霸/的/角力/之中/鹅城/上空/愁/云密/布血雨腥风/在所难免/本片/根据/马识途/的/小说/夜谭/十/记/中/的/盗官/记/一/章/改编
1292215,艾米莉/奥黛丽/塔图/AudreyTautou/饰/有着/别人/看来/不幸/的/童年/父亲/给/她/做/健康检查/时/发现/她/心跳/过快/便/断定/她/患上/心脏病/从此/艾米莉/与/学校/绝缘/随后/因为/一桩/意外/母亲/在/她/眼前/突然/死去/这/一切/都/毫不/影响/艾米莉/对/生活/的/豁达/乐观/1997/年/戴安娜/王妃/的/去世/让/她/倍感/人生/的/孤独/脆弱/艾米莉/从此/开始/了/一系列/助人/计划/包括/自闭/忧郁/的/邻居/老人/被/老板/刻薄/的/菜摊/伙计/遗失/了/童年/器物/的/旧/房东/爱情/失意/的/咖啡店/同事/但/她/万万/想不到/成人/录象带/商店/店员/尼诺马/修卡索维/MathieuKassovitz/饰竟/成为/她/的/棘手/对象/艾米莉/开始/了/令人/哭笑不得/的/另类/计划,艾米莉奥黛丽塔图AudreyTautou饰/有着/别人/看/来/不幸/的/童年/父亲/给/她/做/健康/检查/时/发现/她/心跳/过/快/便/断定/她/患/上/心脏病/从此/艾米莉/与/学校/绝缘/随后/因为/一/桩/意外/母亲/在/她/眼前/突然/死去/这/一切/都/毫/不/影响/艾米莉/对/生活/的/豁达/乐观/1997年/戴安娜/王妃/的/去世/让/她/倍/感/人生/的/孤独/脆弱/艾米莉/从此/开始/了/一/系列/助人/计划/包括/自闭/忧郁/的/邻居/老人/被/老板/刻薄/的/菜摊/伙计/遗失/了/童年/器物/的/旧/房东/爱情/失意/的/咖啡店/同事/但/她/万万/想/不/到/成人/录象/带/商店/店员/尼诺/马修卡/索维MathieuKassovit/z饰/竟/成为/她/的/棘手/对象/艾米莉/开始/了/令/人/哭笑不得/的/另/类/计划
1652587,战斗/中/负伤/而/下身/瘫痪/的/前/海军/战士/杰克/萨/利萨/姆/沃辛顿/SamWorthington/饰/决定/替/死去/的/同胞/哥哥/来到/潘多拉/星/操纵/格蕾丝/博士/西格/妮/韦弗/SigourneyWeaver/饰用/人类基因/与/当地/纳美/部族/基因/结合/创造/出/的/阿凡/达/混血/生物/杰克/的/目的/是/打入/纳美/部落/外交/说服/他们/自愿/离开/世代/居住/的/家园/从而/SecFor/公司/可/砍伐/殆尽/该/地区/的/原始森林/开采/地下/昂贵/的/不可/得矿/在/探索/潘多拉/星/的/过程/中/杰克/遇到/了/纳美/部落/的/公主/娜蒂瑞佐伊/索尔达/娜/ZoeSaldana/饰/向/她/学习/了/纳美人/的/生存/技能/与/对待/自然/的/态度/与此同时/SecFor/公司/的/经理/和/军方/代表/上校/迈尔斯/史蒂芬/朗/StephenLang/饰/逐渐/丧失/耐心/决定/诉诸武力/驱赶/纳美人/本片/采用/3D/技术/拍摄/共/耗资/5/亿美元/制作/发行/是/电影史/上/最为/昂贵/的/作品/本片/荣获/...,战斗/中/负伤/而/下身/瘫痪/的/前/海军/战士/杰克萨利/萨姆沃辛顿/SamWorthington饰/决定/替/死去/的/同胞/哥哥/来/到/潘多拉星操/纵格/蕾丝/博士/西格妮韦弗SigourneyWeaver/饰用/人类/基因/与/当地/纳美/部族/基因/结合/创造/出/的/阿凡达/混/血/生物/杰克/的/目/的/是/打入/纳美/部落/外交/说服/他们/自愿/离开/世代/居住/的/家园/从而/SecFor/公司/可/砍伐/殆尽/该/地区/的/原始/森林/开采/地下/昂贵/的/不可/得/矿/在/探索/潘多拉星/的/过程/中/杰克/遇到/了/纳美/部落/的/公主娜蒂瑞佐/伊索尔达娜/ZoeSaldana/饰/向/她/学习/了/纳美人/的/生存/技能/与/对待/自然/的/态度/与此同时/SecFor/公司/的/经理/和/军方/代表/上校/迈尔斯史蒂芬朗StephenLang/饰/逐渐/丧失/耐心/决定/诉诸武力/驱赶纳/美/人/本片/采用/3/D/技术/拍摄/共/耗资/5亿/美元/制作/发行/是/电影史/上/最为/昂贵/的/作品/本片/荣获/...
1292001,本片/讲述/了/一个/钢琴/天才/传奇/的/一生/1900/年/Virginian/号/豪华/邮轮/上/一个/孤儿/被遗弃/在/头等舱/由/船上/的/水手/抚养/长大/取名/1900/蒂姆/•/罗斯/饰/1900/慢慢/长大/显示/出/了/无师自通/的/非凡/钢琴/天赋/在/船上/的/乐队/表演/钢琴/每个/听过/他/演奏/的/人/都/被/深深/打动/爵士乐/鼻祖/杰尼/听说/了/1900/的/高超/技艺/专门/上船/和/他/比赛/最后/自叹弗如/黯然/离去/可惜/这/一切/的/事情/都/发生/在/海上/1900/从来不/愿/踏上/陆地/直到/有/一天/他/爱/上/了/一个/女孩/情愫/在/琴键/上/流淌/他会/不会/为了/爱情/踏上/陆地/开始/新/的/生活/用/他/的/琴声/惊艳/世界/他/将/怎样/谱写/自己/非凡/的/人生,本片/讲述/了/一个/钢琴/天才/传奇/的/一生/1900年/Virginian号/豪华/邮轮/上/一个/孤儿/被/遗弃/在/头等舱/由/船上/的/水手/抚养/长大/取名/1900/蒂姆/•/罗/斯饰/1900/慢慢/长大/显示/出/了/无师自通/的/非凡/钢琴/天赋/在/船上/的/乐队/表演/钢琴/每个/听/过/他/演奏/的/人/都/被/深深/打动/爵士乐/鼻祖杰尼/听说/了/1900/的/高超/技艺/专门/上/船/和/他/比赛/最后/自叹弗如/黯然/离去/可惜/这/一切/的/事情/都/发生/在/海上/1900/从/来不/愿/踏/上/陆地/直到/有/一/天/他/爱上/了/一个/女孩/情愫/在/琴键/上/流淌/他/会/不/会/为/了/爱情/踏/上/陆地/开始/新/的/生活/用/他/的/琴声/惊艳/世界/他/将/怎样/谱写/自己/非凡/的/人生
1292722,1912/年/4/月/10/日/号称/世界/工业/史上/的/奇迹/的/豪华/客轮/泰坦尼克号/开始/了/自己/的/处女航/从/英国/的/南安普顿/出发/驶往/美国纽约/富家/少女/罗丝/凯特/•/温丝/莱特/与/母亲/及/未婚夫/卡尔/坐上/了/头等舱/；/另一边/放荡不羁/的/少年/画家/杰克/莱昂纳多/迪卡/普里/奥/也/在/码头/的/一场/赌博/中/赢得/了/下/等/舱/的/船票/罗丝/厌倦/了/上流社会/虚伪/的/生活/不愿/嫁给/卡尔/打算/投海/自尽/被/杰克/救起/很快/美丽/活泼/的/罗丝/与/英俊/开朗/的/杰克/相爱/杰克/带罗丝/参加/下/等/舱/的/舞会/为/她/画像/二人/的/感情/逐渐/升温/1912/年/4/月/14/日/星期天/晚上/一个/风平浪静/的/夜晚/泰坦尼克号/撞/上/了/冰山/永不/沉没/的/泰坦尼克号/面临/沉船/的/命运/罗丝/和/杰克/刚/萌芽/的/爱情/也/将/经历/生死/的/考验,1912年/4月/10日/号称/世界/工业史/上/的/奇迹/的/豪华/客轮/泰坦尼克号/开始/了/自己/的/处女航/从/英国/的/南安普顿/出发/驶/往/美国/纽约/富/家/少女/罗/丝凯/特•/温丝莱特/与/母亲/及/未婚夫/卡尔/坐/上/了/头等舱/；/另/一边/放荡不羁/的/少年/画/家/杰克莱昂纳多迪卡普里奥/也/在/码头/的/一/场/赌博/中/赢得/了/下等舱/的/船票/罗/丝厌倦/了/上流/社会/虚伪/的/生活/不/愿/嫁/给/卡尔/打算/投海/自尽/被/杰克/救起/很快/美丽/活泼/的/罗丝/与/英俊/开朗/的/杰克/相爱/杰克带/罗/丝/参加/下等舱/的/舞会/为/她/画像/二/人/的/感情/逐渐/升温/1912年/4月/14日/星期天/晚上/一个/风平浪静/的/夜晚/泰坦尼克号/撞/上/了/冰山/永/不/沉没/的/泰坦尼克号/面临/沉船/的/命运/罗/丝/和/杰克刚/萌芽/的/爱情/也/将/经历/生死/的/考验
